episode,reward,loss,portfolio_return,market_return,excess_return,steps,q_value,epsilon
1,-0.4295039864505015,9.827247371879462e-05,-0.3492,0.7951,-1.1443,8759,0.08611398727766713,0.995
2,-0.019064520773412946,3.523732675790145e-05,-0.0189,0.7951,-0.8140000000000001,8759,0.06747753490224007,0.990025
3,-0.4789351376544244,3.260656125445742e-05,-0.38060000000000005,0.7951,-1.1757,8759,0.040023354972522476,0.985074875
4,-1.4070970170737198,3.190452848373812e-05,-0.7551000000000001,0.7951,-1.5502000000000002,8759,0.022482340615904078,0.9801495006250001
5,-1.010676930070311,3.149224740940523e-05,-0.636,0.7951,-1.4311,8759,0.018675933115993245,0.9752487531218751
6,-0.25145044735731287,3.1258073798907365e-05,-0.2223,0.7951,-1.0174,8759,0.015506273222412437,0.9703725093562657
7,-0.1586617332086857,3.068683601791187e-05,-0.1467,0.7951,-0.9418,8759,0.010867520260040531,0.9655206468094844
8,-0.49609391271368747,3.103823591039252e-05,-0.3911,0.7951,-1.1862,8759,0.012579228444158255,0.960693043575437
9,-1.2661306836856159,3.053147509283532e-05,-0.7181000000000001,0.7951,-1.5132,8759,0.007213823215208521,0.9558895783575597
10,-0.48344450639255665,3.062159922040099e-05,-0.3833,0.7951,-1.1784,8759,0.004180071941057063,0.9511101304657719
