episode,reward,loss,portfolio_return,market_return,excess_return,steps,policy_loss,value_loss,entropy
1,-0.7295192944419882,0.0,-0.5179,0.7951,-1.3130000000000002,8759,0.0,9.19749351909574e-08,0.0001802559344607945
2,-0.44247314773267277,0.0,-0.3576,0.7951,-1.1527,8759,0.0,3.1031853285048635e-08,0.00017941984563139986
3,-1.2034990940612453,0.0,-0.6999,0.7951,-1.495,8759,0.0,2.354411681268283e-08,0.0001808987970466051
4,-0.5623873196879153,0.0,-0.4302,0.7951,-1.2253,8759,0.0,3.0924332598772745e-08,0.00018000220653465845
5,-1.3432327041283898,0.0,-0.7390000000000001,0.7951,-1.5341,8759,0.0,2.6108956307263294e-08,0.00017750151744395863
6,-0.21409496010151863,0.0,-0.19269999999999998,0.7951,-0.9878,8759,0.0,2.2453772725635785e-08,0.00017746021871284409
7,-0.010221705788937543,0.0,-0.0102,0.7951,-0.8053,8759,0.0,2.2066041780349058e-08,0.0001799456616631636
8,-0.8150724937721524,0.0,-0.5574,0.7951,-1.3525,8759,0.0,2.6803388748126865e-08,0.00017727455511438555
9,0.019529898833995724,0.0,0.0197,0.7951,-0.7754,8759,0.0,2.9674382292025267e-08,0.00017542266968728854
10,-0.47014883869047314,0.0,-0.3751,0.7951,-1.1702,8759,0.0,3.43109251051517e-08,0.00017637238316926712
11,-0.48722155405013334,0.0,-0.3857,0.7951,-1.1808,8759,0.0,3.131595508903414e-08,0.00017691431540770394
12,0.05331109293805491,0.0,0.0548,0.7951,-0.7403000000000001,8759,0.0,2.670454591172124e-08,0.00017717892573152134
13,0.00989011955283758,0.0,0.009899999999999999,0.7951,-0.7852,8759,0.0,3.133005907329201e-08,0.00017711468633775616
14,-0.7534637069867534,0.0,-0.5293,0.7951,-1.3244,8759,0.0,2.989541351176675e-08,0.00017773819104752867
15,-0.6154690636142176,0.0,-0.4596,0.7951,-1.2547000000000001,8759,0.0,2.7398315032027695e-08,0.00017653646148422784
16,0.40171851619154186,0.0,0.49439999999999995,0.7951,-0.3007000000000001,8759,0.0,2.910768979907642e-08,0.00017597856066204614
17,-0.331136832667746,0.0,-0.28190000000000004,0.7951,-1.077,8759,0.0,2.7669726482722648e-08,0.00017353715961163164
18,-0.15459261184429177,0.0,-0.1432,0.7951,-0.9383,8759,0.0,3.349461835514371e-08,0.00017331685648181737
19,-0.16140338869950735,0.0,-0.1491,0.7951,-0.9442,8759,0.0,3.2267564307673834e-08,0.00017325668508818228
20,-0.7378764427253269,0.0,-0.5219,0.7951,-1.3170000000000002,8759,0.0,3.3681142385626666e-08,0.00017449066531901035
21,-0.10487409997038438,0.0,-0.09960000000000001,0.7951,-0.8947,8759,0.0,3.409313754871903e-08,0.00017386604546504206
22,-0.42992155131883053,0.0,-0.3494,0.7951,-1.1445,8759,0.0,3.1875584203576984e-08,0.00017200795985012422
23,-0.47782288866018996,0.0,-0.3799,0.7951,-1.175,8759,0.0,3.5901553265663406e-08,0.00016863776083421545
24,-0.6567750218394106,0.0,-0.4815,0.7951,-1.2766,8759,0.0,3.312156877984766e-08,0.00017229517694651036
25,-0.10067918144312923,0.0,-0.0958,0.7951,-0.8909,8759,0.0,2.9685374368790834e-08,0.00016993824189106844
26,-1.0603649736361636,0.0,-0.6537000000000001,0.7951,-1.4488,8759,0.0,3.510984964933638e-08,0.00016704337380265107
27,-0.6428621551685139,0.0,-0.4742,0.7951,-1.2693,8759,0.0,3.526861918117526e-08,0.00016340252175777367
28,-0.5983298814964784,0.0,-0.45030000000000003,0.7951,-1.2454,8759,0.0,4.043688551370514e-08,0.00016572634410130094
29,-0.5520859211639764,0.0,-0.4243,0.7951,-1.2194,8759,0.0,3.89046090406966e-08,0.00016500682786297168
30,-0.65823968712499,0.0,-0.48219999999999996,0.7951,-1.2772999999999999,8759,0.0,3.171161232623968e-08,0.00016403921542380967
31,-0.2592809110128306,0.0,-0.2284,0.7951,-1.0235,8759,0.0,4.769545032175434e-08,0.00016357733556772054
32,-0.2448655189587629,0.0,-0.21719999999999998,0.7951,-1.0123,8759,0.0,3.817673117124678e-08,0.00016487596843220317
33,0.023939251719739707,0.0,0.0242,0.7951,-0.7709,8759,0.0,3.854758019445322e-08,0.00016380226939831846
34,-0.4011554578478213,0.0,-0.33049999999999996,0.7951,-1.1256,8759,0.0,4.140022570065287e-08,0.00016244863589155205
35,0.11020620310184279,0.0,0.1165,0.7951,-0.6786,8759,0.0,4.04810671685095e-08,0.00015519476818613782
36,0.5363803927829499,0.0,0.7098,0.7951,-0.08530000000000004,8759,0.0,4.335200639509899e-08,0.00015129370067917445
37,-0.025101628090367076,0.0,-0.0248,0.7951,-0.8199000000000001,8759,0.0,4.888160638393572e-08,0.00014822699277185753
38,0.37906850894814403,0.0,0.46090000000000003,0.7951,-0.3342,8759,0.0,5.0821396748827063e-08,0.00014245349814707251
39,0.11471794308571723,0.0,0.1216,0.7951,-0.6735,8759,0.0,4.9453750654838584e-08,0.0001402878228756195
40,-0.25275971043238993,0.0,-0.22329999999999997,0.7951,-1.0184,8759,0.0,5.0494328407331183e-08,0.00014843587096986075
